"Type","Description"
"Error","E21018: Enhanced Mobi building failure, while parsing content in the file. Content: <img> in file: /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/381.html line: 142","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/c21a968e99d58cb4bc1419f023f5df6fe5155d2492b3f9a3e4a24a54987ee327/68747470733a2f2f692e696d6775722e636f6d2f7057536e6b65662e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/0e0d873c8092b5c4cbd80c87368076aa648b27a6e906cdd322f94947fd8cff6c/68747470733a2f2f692e696d6775722e636f6d2f3532473176316b2e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/ec4d47231145dea871d34e40da887b9445b5973b81ec69e1beeeeeeb8fbe3ed1/68747470733a2f2f692e696d6775722e636f6d2f4c4b61374d47302e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/83f48100bd3ca927ec58fed4c0142ddf4b011dd4d0185596e9ba837bb5122041/68747470733a2f2f692e696d6775722e636f6d2f47534b4a3964522e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/c8eb983128b76e8f4d8f71b8b5672f23cc3d7dfff6c51f8930e7136d1a44d118/68747470733a2f2f692e696d6775722e636f6d2f4250355374324c2e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/b611ab43c796a44c30ab1d25f96292f894f72b0a69f875772f45532afdc8953b/68747470733a2f2f692e696d6775722e636f6d2f357a6177464f6b2e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/cd7a4ce3c7ac3fb0b4b1c09d84f728bcef373d7946d80ab475a367ebba1bc14e/68747470733a2f2f692e696d6775722e636f6d2f7a3846414e705a2e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/3b71dfb783b340b8352572ee43d1beb71483ffd1b492858e6121c53b1c6c77a1/68747470733a2f2f692e696d6775722e636f6d2f74624378384b4d2e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/15391dbd276444a42a57c43ee625bb72e098f8017265639a86c2e067541d0e3f/68747470733a2f2f692e696d6775722e636f6d2f6e5a4e446a794d2e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/352b754eb0ea1b12dbb3a19017c810f5090937b484d490fd978dc4736e7c8123/68747470733a2f2f692e696d6775722e636f6d2f6e6859376e70442e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/65ba1667a1bb7c2e97e23128e2d82325649c2f7398904e3e70910704593bf378/68747470733a2f2f692e696d6775722e636f6d2f574d376f4f646f2e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/b7d80b0ea9236ddc145a765032c01121674c676c2de287e30211f5929982a0ee/68747470733a2f2f692e696d6775722e636f6d2f595836366874422e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/e1fac7a146b80c046eb1321fd58f2ce99e7efb749cc1911cb494aaa893c3b506/68747470733a2f2f692e696d6775722e636f6d2f7756504d6e66452e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/c055e4c740462579aa46acae76d9c9e85f2aa984883c27d0622f130973a7a284/68747470733a2f2f692e696d6775722e636f6d2f486752753254742e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/c2acf55d26a5cb2f7ad9f3edc033d95aafb9d120689ccd089462fe0a81185f4d/68747470733a2f2f692e696d6775722e636f6d2f4d4d7a6831614f2e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/828aef35a67b4b9d5108b0df039d117b87331a27939f6f04d6d6dfa2013cf9d8/68747470733a2f2f692e696d6775722e636f6d2f787377323656362e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/06bbfc92911616665747a441977e85bfef57b0ca5aa4efd48b633f4c5862a671/68747470733a2f2f692e696d6775722e636f6d2f734b554c6430562e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/47fa1d09631f75c041c3a0e8b9e0de4dc5861eabe4b4bb84fde8903ea2d12cbf/68747470733a2f2f692e696d6775722e636f6d2f483043534431612e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/a53525c6c393daf2036e6a1d46e6242d8e8e6c74cd72015af8e94286f1a4d7b2/68747470733a2f2f692e696d6775722e636f6d2f677031447937612e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/83510c13ce295454a103171f3151bdaa4d24be9bdc313ca048fbe27ea651c50c/68747470733a2f2f692e696d6775722e636f6d2f6238624d4d436f2e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/9aa75f2c819575d6461737af3e53586d6faaecc94096a3708feaa85ade3e22bb/68747470733a2f2f692e696d6775722e636f6d2f6a54737052374a2e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/0ee9513c1f10d03b452b666a5cba3f3981e18b07eca268b02c3f41bd7eb780b2/68747470733a2f2f692e696d6775722e636f6d2f50696b464842422e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/0f3eb6bdaf723a54d3a0a617389cde61a2cb8a31259e48e3f3c3fdad83824c40/68747470733a2f2f692e696d6775722e636f6d2f67377a577762642e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/e3e0f49c42084cee92c567e7d53074990f81214f1c15b8a1c0cf73c98b8171b1/68747470733a2f2f692e696d6775722e636f6d2f68466d346b48492e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/38f4660125e79d264dbe3d1edfe2d02094c63376e87495f86a31a86c055778c2/68747470733a2f2f692e696d6775722e636f6d2f653847664641332e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/611800d4c40c2d96f1b6c10175ec07c28babc13b4b378e56fd2ed852527f56b3/68747470733a2f2f692e696d6775722e636f6d2f35546a4e6648582e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/194adf39ae8f2c683f52d450bb44eb350d23c62e07ddf9b2263a98fe1db033f6/68747470733a2f2f692e696d6775722e636f6d2f564f75485951392e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/5f6678bc41379b69644b95726c763cf8f6ec8591b4782e32d61b30fbb4e52572/68747470733a2f2f692e696d6775722e636f6d2f583848446b31412e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/7d6bea5eaddf63521a6f7a69eff69b86f986c9792051f037087fd935e31cf8f5/68747470733a2f2f692e696d6775722e636f6d2f4e646c696b566e2e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/88355721ef5af28d3cbe66ea7795b945e50d0b2d6dc5c32da8795cbdd9ecce92/68747470733a2f2f692e696d6775722e636f6d2f493066715876612e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/cfa2a6131d0189f7757c79ce7fc9de040e1018b7dbabaa3aba2041dcc2dbe4db/68747470733a2f2f692e696d6775722e636f6d2f4e67656c494b532e706e67","","","",""
